algChoice,num_procs,n,theta,elapsed_avg,energy_avg
1,1,20000,0.5,7.02898,-0.249936
2,1,20000,0.5,7.28398,-0.249936
3,1,20000,0.5,6.02938,-0.249936
4,1,20000,0.5,6.37785,-0.249936
5,1,20000,0.5,6.07559,-0.249936
6,1,20000,0.5,8.36119,-0.249936
7,1,20000,0.5,8.69511,-0.249936
1,2,20000,0.5,3.50598,-0.249936
2,2,20000,0.5,5.65753,-0.249936
3,2,20000,0.5,5.31473,-0.249936
4,2,20000,0.5,3.19948,-0.249936
5,2,20000,0.5,3.21713,-0.249936
6,2,20000,0.5,4.76203,-0.249936
7,2,20000,0.5,4.5066,-0.249936
1,4,20000,0.5,3.09635,-0.249936
2,4,20000,0.5,3.04027,-0.249936
3,4,20000,0.5,1.67223,-0.249936
4,4,20000,0.5,3.00165,-0.249936
5,4,20000,0.5,2.87109,-0.249936
6,4,20000,0.5,4.55708,-0.249936
7,4,20000,0.5,4.10931,-0.249936
1,8,20000,0.5,1.05143,-0.249936
2,8,20000,0.5,1.59903,-0.249936
3,8,20000,0.5,1.54039,-0.249936
4,8,20000,0.5,0.986439,-0.249936
5,8,20000,0.5,0.970063,-0.249936
6,8,20000,0.5,2.25808,-0.249936
7,8,20000,0.5,1.35215,-0.249936
1,16,20000,0.5,0.959139,-0.249936
2,16,20000,0.5,0.6637,-0.249936
3,16,20000,0.5,0.66372,-0.249936
4,16,20000,0.5,0.685616,-0.249936
5,16,20000,0.5,0.698909,-0.249936
6,16,20000,0.5,0.963719,-0.249936
7,16,20000,0.5,0.997688,-0.249936
1,20,20000,0.5,nan,nan
2,20,20000,0.5,nan,nan
3,20,20000,0.5,nan,nan
4,20,20000,0.5,nan,nan
5,20,20000,0.5,nan,nan
6,20,20000,0.5,nan,nan
7,20,20000,0.5,nan,nan
1,40,20000,0.5,nan,nan
2,40,20000,0.5,nan,nan
3,40,20000,0.5,nan,nan
4,40,20000,0.5,nan,nan
5,40,20000,0.5,nan,nan
6,40,20000,0.5,nan,nan
7,40,20000,0.5,nan,nan
1,80,20000,0.5,0.469274,-0.249936
2,80,20000,0.5,0.598459,-0.249936
3,80,20000,0.5,0.578507,-0.249936
4,80,20000,0.5,0.628974,-0.249936
5,80,20000,0.5,0.881042,-0.249936
6,80,20000,0.5,3.82052,-0.249936
7,80,20000,0.5,2.99541,-0.249936
1,160,20000,0.5,0.472248,-0.249936
2,160,20000,0.5,0.5665,-0.249936
3,160,20000,0.5,0.565805,-0.249936
4,160,20000,0.5,0.771747,-0.249936
5,160,20000,0.5,0.838804,-0.249936
6,160,20000,0.5,5.56765,-0.249936
7,160,20000,0.5,4.42337,-0.249936
1,1,40000,0.5,17.6981,-0.24995
2,1,40000,0.5,18.1178,-0.24995
3,1,40000,0.5,14.6608,-0.24995
4,1,40000,0.5,15.7073,-0.24995
5,1,40000,0.5,16.4654,-0.24995
6,1,40000,0.5,25.7633,-0.24995
7,1,40000,0.5,25.938,-0.24995
1,2,40000,0.5,9.12733,-0.24995
2,2,40000,0.5,16.1011,-0.24995
3,2,40000,0.5,8.02197,-0.24995
4,2,40000,0.5,11.4011,-0.24995
5,2,40000,0.5,7.686,-0.24995
6,2,40000,0.5,12.1247,-0.24995
7,2,40000,0.5,11.5772,-0.24995
1,4,40000,0.5,4.67052,-0.24995
2,4,40000,0.5,8.13465,-0.24995
3,4,40000,0.5,4.00207,-0.24995
4,4,40000,0.5,7.86093,-0.24995
5,4,40000,0.5,7.39533,-0.24995
6,4,40000,0.5,11.2057,-0.24995
7,4,40000,0.5,6.0182,-0.24995
1,8,40000,0.5,2.67299,-0.24995
2,8,40000,0.5,4.2252,-0.24995
3,8,40000,0.5,3.54212,-0.24995
4,8,40000,0.5,2.49125,-0.24995
5,8,40000,0.5,2.49177,-0.24995
6,8,40000,0.5,3.70519,-0.24995
7,8,40000,0.5,3.16176,-0.24995
1,16,40000,0.5,1.72367,-0.24995
2,16,40000,0.5,1.64751,-0.24995
3,16,40000,0.5,1.70593,-0.24995
4,16,40000,0.5,1.58733,-0.24995
5,16,40000,0.5,1.55751,-0.24995
6,16,40000,0.5,2.1551,-0.24995
7,16,40000,0.5,1.65656,-0.24995
1,20,40000,0.5,nan,nan
2,20,40000,0.5,nan,nan
3,20,40000,0.5,nan,nan
4,20,40000,0.5,nan,nan
5,20,40000,0.5,nan,nan
6,20,40000,0.5,nan,nan
7,20,40000,0.5,nan,nan
1,40,40000,0.5,nan,nan
2,40,40000,0.5,nan,nan
3,40,40000,0.5,nan,nan
4,40,40000,0.5,nan,nan
5,40,40000,0.5,nan,nan
6,40,40000,0.5,nan,nan
7,40,40000,0.5,nan,nan
1,80,40000,0.5,1.02706,-0.24995
2,80,40000,0.5,1.15778,-0.24995
3,80,40000,0.5,1.12994,-0.24995
4,80,40000,0.5,1.23979,-0.24995
5,80,40000,0.5,1.34111,-0.24995
6,80,40000,0.5,4.77569,-0.24995
7,80,40000,0.5,3.70816,-0.24995
1,160,40000,0.5,0.95883,-0.24995
2,160,40000,0.5,1.1054,-0.24995
3,160,40000,0.5,1.12362,-0.24995
4,160,40000,0.5,1.23192,-0.24995
5,160,40000,0.5,1.8792,-0.24995
6,160,40000,0.5,7.22492,-0.24995
7,160,40000,0.5,6.14411,-0.24995
1,1,80000,0.5,42.6129,-0.249959
2,1,80000,0.5,44.6802,-0.249959
3,1,80000,0.5,36.7043,-0.249959
4,1,80000,0.5,40.9699,-0.249959
5,1,80000,0.5,38.4078,-0.249959
6,1,80000,0.5,87.4972,-0.249959
7,1,80000,0.5,80.3898,-0.249959
1,2,80000,0.5,23.0219,-0.249959
2,2,80000,0.5,23.3074,-0.249959
3,2,80000,0.5,20.2404,-0.249959
4,2,80000,0.5,20.9884,-0.249959
5,2,80000,0.5,20.9374,-0.249959
6,2,80000,0.5,36.2018,-0.249959
7,2,80000,0.5,34.2755,-0.249959
1,4,80000,0.5,12.0762,-0.249959
2,4,80000,0.5,11.4985,-0.249959
3,4,80000,0.5,10.2472,-0.249959
4,4,80000,0.5,11.2852,-0.249959
5,4,80000,0.5,10.8469,-0.249959
6,4,80000,0.5,19.0428,-0.249959
7,4,80000,0.5,16.677,-0.249959
1,8,80000,0.5,6.99419,-0.249959
2,8,80000,0.5,6.91135,-0.249959
3,8,80000,0.5,6.53642,-0.249959
4,8,80000,0.5,6.27283,-0.249959
5,8,80000,0.5,6.20739,-0.249959
6,8,80000,0.5,9.44188,-0.249959
7,8,80000,0.5,8.14899,-0.249959
1,16,80000,0.5,4.26107,-0.249959
2,16,80000,0.5,4.12243,-0.249959
3,16,80000,0.5,4.08111,-0.249959
4,16,80000,0.5,4.12103,-0.249959
5,16,80000,0.5,3.77141,-0.249959
6,16,80000,0.5,5.1508,-0.249959
7,16,80000,0.5,4.13191,-0.249959
1,20,80000,0.5,nan,nan
2,20,80000,0.5,nan,nan
3,20,80000,0.5,nan,nan
4,20,80000,0.5,nan,nan
5,20,80000,0.5,nan,nan
6,20,80000,0.5,nan,nan
7,20,80000,0.5,nan,nan
1,40,80000,0.5,nan,nan
2,40,80000,0.5,nan,nan
3,40,80000,0.5,nan,nan
4,40,80000,0.5,nan,nan
5,40,80000,0.5,nan,nan
6,40,80000,0.5,nan,nan
7,40,80000,0.5,nan,nan
1,80,80000,0.5,2.4245,-0.249959
2,80,80000,0.5,2.87078,-0.249959
3,80,80000,0.5,3.11323,-0.249959
4,80,80000,0.5,2.6542,-0.249959
5,80,80000,0.5,2.86119,-0.249959
6,80,80000,0.5,6.63942,-0.249959
7,80,80000,0.5,5.50094,-0.249959
1,160,80000,0.5,2.103,-0.249959
2,160,80000,0.5,2.50434,-0.249959
3,160,80000,0.5,2.35797,-0.249959
4,160,80000,0.5,2.57421,-0.249959
5,160,80000,0.5,2.77395,-0.249959
6,160,80000,0.5,9.16067,-0.249959
7,160,80000,0.5,8.16773,-0.249959
1,1,160000,0.5,94.6968,-0.249936
2,1,160000,0.5,108.766,-0.249936
3,1,160000,0.5,87.1889,-0.249936
4,1,160000,0.5,91.7355,-0.249936
5,1,160000,0.5,86.9138,-0.249936
6,1,160000,0.5,295.089,-0.249936
7,1,160000,0.5,331.035,-0.249936
1,2,160000,0.5,58.3211,-0.249936
2,2,160000,0.5,60.5539,-0.249936
3,2,160000,0.5,45.9371,-0.249936
4,2,160000,0.5,52.0277,-0.249936
5,2,160000,0.5,48.3318,-0.249936
6,2,160000,0.5,115.825,-0.249936
7,2,160000,0.5,105.519,-0.249936
1,4,160000,0.5,31.2618,-0.249936
2,4,160000,0.5,30.1258,-0.249936
3,4,160000,0.5,25.4131,-0.249936
4,4,160000,0.5,27.2395,-0.249936
5,4,160000,0.5,26.8021,-0.249936
6,4,160000,0.5,53.5954,-0.249936
7,4,160000,0.5,47.8532,-0.249936
1,8,160000,0.5,18.8323,-0.249936
2,8,160000,0.5,17.498,-0.249936
3,8,160000,0.5,15.6665,-0.249936
4,8,160000,0.5,15.1794,-0.249936
5,8,160000,0.5,15.1629,-0.249936
6,8,160000,0.5,25.1085,-0.249936
7,8,160000,0.5,22.0052,-0.249936
1,16,160000,0.5,11.1426,-0.249936
2,16,160000,0.5,10.6872,-0.249936
3,16,160000,0.5,9.18206,-0.249936
4,16,160000,0.5,9.63225,-0.249936
5,16,160000,0.5,8.86225,-0.249936
6,16,160000,0.5,12.492,-0.249936
7,16,160000,0.5,10.3835,-0.249936
1,20,160000,0.5,nan,nan
2,20,160000,0.5,nan,nan
3,20,160000,0.5,nan,nan
4,20,160000,0.5,nan,nan
5,20,160000,0.5,nan,nan
6,20,160000,0.5,nan,nan
7,20,160000,0.5,nan,nan
1,40,160000,0.5,nan,nan
2,40,160000,0.5,nan,nan
3,40,160000,0.5,nan,nan
4,40,160000,0.5,nan,nan
5,40,160000,0.5,nan,nan
6,40,160000,0.5,nan,nan
7,40,160000,0.5,nan,nan
1,80,160000,0.5,5.69404,-0.249936
2,80,160000,0.5,6.09605,-0.249936
3,80,160000,0.5,5.87415,-0.249936
4,80,160000,0.5,5.93493,-0.249936
5,80,160000,0.5,5.48422,-0.249936
6,80,160000,0.5,9.72359,-0.249936
7,80,160000,0.5,7.80785,-0.249936
1,160,160000,0.5,5.81621,-0.249936
2,160,160000,0.5,7.49478,-0.249936
3,160,160000,0.5,5.87998,-0.249936
4,160,160000,0.5,5.94008,-0.249936
5,160,160000,0.5,5.30657,-0.249936
6,160,160000,0.5,11.9493,-0.249936
7,160,160000,0.5,10.3087,-0.249936
1,1,320000,0.5,298.65,-0.24996
2,1,320000,0.5,250.568,-0.24996
3,1,320000,0.5,216.498,-0.24996
4,1,320000,0.5,213.592,-0.24996
5,1,320000,0.5,205.934,-0.24996
6,1,320000,0.5,1284.78,-0.24996
7,1,320000,0.5,1304.83,-0.24996
1,2,320000,0.5,151.137,-0.24996
2,2,320000,0.5,156.322,-0.24996
3,2,320000,0.5,113.828,-0.24996
4,2,320000,0.5,111.141,-0.24996
5,2,320000,0.5,112.179,-0.24996
6,2,320000,0.5,395.286,-0.24996
