algChoice,num_procs,n,theta,elapsed_avg,energy_avg
1,20,20000,0.5,0.839289,-0.249936
2,20,20000,0.5,0.620811,-0.249936
3,20,20000,0.5,0.863435,-0.249936
4,20,20000,0.5,0.825332,-0.249936
5,20,20000,0.5,0.65044,-0.249936
6,20,20000,0.5,2.72157,-0.249936
7,20,20000,0.5,2.03253,-0.249936
1,40,20000,0.5,0.599328,-0.249936
2,40,20000,0.5,0.659668,-0.249936
3,40,20000,0.5,0.634618,-0.249936
4,40,20000,0.5,0.92653,-0.249936
5,40,20000,0.5,0.712695,-0.249936
6,40,20000,0.5,3.16418,-0.249936
7,40,20000,0.5,2.38816,-0.249936
1,80,20000,0.5,0.472576,-0.249936
2,80,20000,0.5,0.545878,-0.249936
3,80,20000,0.5,0.55246,-0.249936
4,80,20000,0.5,0.627885,-0.249936
5,80,20000,0.5,0.827666,-0.249936
6,80,20000,0.5,3.91641,-0.249936
7,80,20000,0.5,2.99396,-0.249936
1,160,20000,0.5,0.480643,-0.249936
2,160,20000,0.5,0.548557,-0.249936
3,160,20000,0.5,0.628697,-0.249936
4,160,20000,0.5,0.763197,-0.249936
5,160,20000,0.5,0.778896,-0.249936
6,160,20000,0.5,5.39371,-0.249936
7,160,20000,0.5,7.65733,-0.249936
1,20,40000,0.5,1.45793,-0.24995
2,20,40000,0.5,1.43398,-0.24995
3,20,40000,0.5,1.47571,-0.24995
4,20,40000,0.5,1.40778,-0.24995
5,20,40000,0.5,2.26355,-0.24995
6,20,40000,0.5,4.36861,-0.24995
7,20,40000,0.5,3.30685,-0.24995
