num_procs,n,elapsed_avg,energy_avg,algChoice,theta,runs_succeeded,run_failures,parse_errors,build_mode,layout_nodes,layout_procs_per_node
1,1000,0.096788,-0.250253,1,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.096019,-0.250253,2,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.08814,-0.250253,3,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.090998,-0.250253,4,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.090952,-0.250253,5,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.098325,-0.250253,6,0.5,1,0,0,mpi-noviz,1,1
1,1000,0.098991,-0.250253,7,0.5,1,0,0,mpi-noviz,1,1
2,1000,0.073007,-0.250253,1,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.074537,-0.250253,2,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.048016,-0.250253,3,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.049455,-0.250253,4,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.049293,-0.250253,5,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.065845,-0.250253,6,0.5,1,0,0,mpi-noviz,1,2
2,1000,0.092354,-0.250253,7,0.5,1,0,0,mpi-noviz,1,2
4,1000,0.042387,-0.250253,1,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.041365,-0.250253,2,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.040473,-0.250253,3,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.041133,-0.250253,4,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.040737,-0.250253,5,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.064956,-0.250253,6,0.5,1,0,0,mpi-noviz,1,4
4,1000,0.05774,-0.250253,7,0.5,1,0,0,mpi-noviz,1,4
8,1000,0.028187,-0.250253,1,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.029568,-0.250253,2,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.028541,-0.250253,3,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.027087,-0.250253,4,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.026964,-0.250253,5,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.059307,-0.250253,6,0.5,1,0,0,mpi-noviz,1,8
8,1000,0.043563,-0.250253,7,0.5,1,0,0,mpi-noviz,1,8
16,1000,0.020879,-0.250259,1,0.5,1,0,0,mpi-noviz,1,16
16,1000,0.080854,-0.250277,2,0.5,1,0,0,mpi-noviz,1,16
16,1000,0.023056,-0.250253,3,0.5,1,0,0,mpi-noviz,1,16
16,1000,0.021389,-0.250253,4,0.5,1,0,0,mpi-noviz,1,16
16,1000,0.060301,-0.250253,5,0.5,1,0,0,mpi-noviz,1,16
16,1000,0.054328,-0.250253,6,0.5,1,0,0,mpi-noviz,1,16
16,1000,1.77899,-0.250253,7,0.5,1,0,0,mpi-noviz,1,16
