n,theta,elapsed_avg,ekin_avg,epot_avg,energy_avg
1000,0.1,0.045693,0.249561,-0.499814,-0.250253
1000,0.3,0.0357803,0.249561,-0.499814,-0.250253
1000,0.5,0.026365,0.249562,-0.499815,-0.250253
1000,0.7,0.0226423,0.249564,-0.499817,-0.250253
1000,1.0,0.018381,0.249575,-0.499816,-0.250241
5000,0.1,0.502953,0.248223,-0.498214,-0.249991
5000,0.3,0.240231,0.248223,-0.498214,-0.249991
5000,0.5,0.156806,0.248223,-0.498215,-0.249992
5000,0.7,0.10883,0.248223,-0.498217,-0.249994
5000,1.0,0.0818927,0.248232,-0.498226,-0.249994
10000,0.1,1.67338,0.248584,-0.498561,-0.249977
10000,0.3,0.579069,0.248585,-0.498562,-0.249977
10000,0.5,0.27563,0.248585,-0.498563,-0.249978
10000,0.7,0.190809,0.248588,-0.498565,-0.249978
10000,1.0,0.16025,0.248584,-0.498571,-0.249987
50000,0.1,27.5669,0.248507,-0.498468,-0.24996
50000,0.3,5.75014,0.248507,-0.498468,-0.249961
50000,0.5,2.26031,0.248508,-0.49847,-0.249962
50000,0.7,1.36378,0.248509,-0.498473,-0.249963
50000,1.0,0.970292,0.248513,-0.498483,-0.24997
