num_procs,n,theta,elapsed_avg,energy_avg,work_pct_avg,overhead_pct_avg,forces_total_pct,forces_avg_imbal_avg,forces_max_imbal_avg,forces_oh_pct_avg,treebuild_total_pct,treebuild_oh_pct_avg,datasort_total_pct,datasort_oh_pct_avg
1,10000,0.5,2.74079,-0.249978,99.48,0.52,97.1421,0,0,0.00825253,2.77377,17.6301,nan,nan
2,10000,0.5,1.5513,-0.249978,97.32,2.68,93.1628,0.001155,0.003409,0.538607,6.71084,31.7352,nan,nan
4,10000,0.5,0.922113,-0.249978,92.91,7.09,90.0848,0.001201,0.002571,1.19476,9.33653,60.9949,0.350166,57.8947
8,10000,0.5,0.807874,-0.249978,81,19,90.287,0.020108,0.031643,13.0786,9.04268,73.9077,0.412847,79.5699
16,10000,0.5,0.566605,-0.249978,70.85,29.15,82.0883,0.01044,0.019788,17.27,16.5954,83.103,0.595513,88.0259
1,20000,0.5,7.59682,-0.249936,99.51,0.49,97.6733,0,0,0.00462856,2.26345,21.2383,nan,nan
2,20000,0.5,4.37901,-0.249936,97.35,2.65,95.0038,0.006084,0.025031,1.03702,4.92019,33.4225,nan,nan
4,20000,0.5,2.75943,-0.249936,91.53,8.47,92.3791,0.013118,0.018516,4.26592,7.25488,59.8815,0.250981,51.9337
8,20000,0.5,2.44411,-0.249936,73.15,26.85,92.4308,0.057387,0.065488,23.0283,7.11271,73.4576,0.310452,75.9459
16,20000,0.5,1.81971,-0.249936,74.88,25.12,85.0043,0.031086,0.044573,15.0788,14.0982,81.8485,0.530204,87.1585
1,40000,0.5,19.6152,-0.24995,99.59,0.41,98.2279,0,0,0.00257538,1.71453,23.3862,nan,nan
2,40000,0.5,11.9735,-0.24995,97.3,2.7,95.9243,0.019878,0.042683,1.39759,4.00905,33.5774,nan,nan
4,40000,0.5,7.70696,-0.24995,94.54,5.46,93.3717,0.010726,0.031493,1.81489,6.30633,57.6421,0.229948,40.2778
8,40000,0.5,7.26939,-0.24995,69.49,30.51,92.8825,0.127803,0.15281,27.1992,6.69105,74.0417,0.311095,71.94
16,40000,0.5,5.82281,-0.24995,73.1,26.9,86.5409,0.074725,0.107042,18.4018,12.717,81.5336,0.532841,86.5207
1,80000,0.5,52.5086,-0.249959,99.62,0.38,98.4024,0,0,0.00162981,1.56448,24.0048,nan,nan
